Country or Area,Subgroup,Year,Source,Unit,Value
Myanmar,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,350000
Namibia,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,130000
Namibia,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,210000
Nepal,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,16000
Nepal,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,74000
Netherlands,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,5900
Netherlands,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,17000
New Zealand,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,1400
Nicaragua,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,1700
Nicaragua,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,7200
Niger,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,42000
Niger,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,71000
Nigeria,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,1600000
Nigeria,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,2600000
Norway,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,1000
Norway,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,2500
Pakistan,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,14000
Pakistan,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,84000
Panama,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,4300
Panama,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,17000
Papua New Guinea,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,34000
Papua New Guinea,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,57000
Paraguay,Female 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,3500
Paraguay,Total 15+ yr,2005,UNAIDS/WHO_Report on the Global AIDS Epidemic_2006 (International estimate),Number,13000
